customer_id,name,email,city,region,signup_date,age_group,gender
12346,Customer 12346,customer12346@retail.example.com,United Kingdom,Europe,2010-03-02,25-34,Male
12347,Customer 12347,customer12347@retail.example.com,Iceland,Europe,2010-10-31,55+,Female
12348,Customer 12348,customer12348@retail.example.com,Finland,Europe,2010-09-27,45-54,Male
12349,Customer 12349,customer12349@retail.example.com,Italy,Europe,2010-04-29,35-44,Female
12350,Customer 12350,customer12350@retail.example.com,Norway,Europe,2011-02-02,25-34,Female
12351,Customer 12351,customer12351@retail.example.com,Unspecified,Other,2010-11-29,25-34,Female
12352,Customer 12352,customer12352@retail.example.com,Norway,Europe,2010-11-12,18-24,Female
12353,Customer 12353,customer12353@retail.example.com,Bahrain,Middle East,2010-10-27,45-54,Female
12354,Customer 12354,customer12354@retail.example.com,Spain,Europe,2011-04-21,35-44,Female
12355,Customer 12355,customer12355@retail.example.com,Bahrain,Middle East,2010-05-21,45-54,Female
12356,Customer 12356,customer12356@retail.example.com,Portugal,Europe,2010-10-11,18-24,Female
12357,Customer 12357,customer12357@retail.example.com,Switzerland,Europe,2010-11-16,55+,Male
12358,Customer 12358,customer12358@retail.example.com,Austria,Europe,2009-12-08,45-54,Female
12359,Customer 12359,customer12359@retail.example.com,Cyprus,Europe,2009-12-05,25-34,Male
12360,Customer 12360,customer12360@retail.example.com,Austria,Europe,2010-02-22,25-34,Female
12361,Customer 12361,customer12361@retail.example.com,Belgium,Europe,2010-01-26,25-34,Male
12362,Customer 12362,customer12362@retail.example.com,Belgium,Europe,2011-02-17,25-34,Female
12363,Customer 12363,customer12363@retail.example.com,Unspecified,Other,2011-04-11,35-44,Female
12364,Customer 12364,customer12364@retail.example.com,Belgium,Europe,2011-08-19,35-44,Female
12365,Customer 12365,customer12365@retail.example.com,Cyprus,Europe,2011-02-21,25-34,Male
12366,Customer 12366,customer12366@retail.example.com,Cyprus,Europe,2010-03-16,35-44,Male
12367,Customer 12367,customer12367@retail.example.com,Denmark,Europe,2011-12-05,25-34,Female
12368,Customer 12368,customer12368@retail.example.com,Cyprus,Europe,2010-03-21,25-34,Female
12369,Customer 12369,customer12369@retail.example.com,Austria,Europe,2010-03-08,25-34,Male
12370,Customer 12370,customer12370@retail.example.com,Austria,Europe,2010-02-09,35-44,Male
12371,Customer 12371,customer12371@retail.example.com,Switzerland,Europe,2010-03-04,45-54,Female
12372,Customer 12372,customer12372@retail.example.com,Denmark,Europe,2011-02-16,25-34,Female
12373,Customer 12373,customer12373@retail.example.com,Austria,Europe,2010-02-04,35-44,Female
12374,Customer 12374,customer12374@retail.example.com,Austria,Europe,2010-04-30,35-44,Male
12375,Customer 12375,customer12375@retail.example.com,Finland,Europe,2011-09-02,18-24,Female
12376,Customer 12376,customer12376@retail.example.com,Switzerland,Europe,2010-10-18,35-44,Other
12377,Customer 12377,customer12377@retail.example.com,Switzerland,Europe,2010-04-29,25-34,Female
12378,Customer 12378,customer12378@retail.example.com,Switzerland,Europe,2010-05-26,18-24,Female
12379,Customer 12379,customer12379@retail.example.com,Belgium,Europe,2010-06-23,55+,Female
12380,Customer 12380,customer12380@retail.example.com,Belgium,Europe,2010-02-15,55+,Male
12381,Customer 12381,customer12381@retail.example.com,Norway,Europe,2011-08-12,45-54,Male
12383,Customer 12383,customer12383@retail.example.com,Belgium,Europe,2010-12-22,25-34,Female
12384,Customer 12384,customer12384@retail.example.com,Switzerland,Europe,2011-08-10,18-24,Male
12385,Customer 12385,customer12385@retail.example.com,Belgium,Europe,2010-11-25,35-44,Female
12386,Customer 12386,customer12386@retail.example.com,Australia,Asia-Pacific,2010-12-08,35-44,Female
12387,Customer 12387,customer12387@retail.example.com,Australia,Asia-Pacific,2010-10-20,25-34,Female
12388,Customer 12388,customer12388@retail.example.com,Australia,Asia-Pacific,2010-05-06,35-44,Female
12389,Customer 12389,customer12389@retail.example.com,Australia,Asia-Pacific,2010-02-22,18-24,Female
12390,Customer 12390,customer12390@retail.example.com,Belgium,Europe,2011-09-21,55+,Male
12391,Customer 12391,customer12391@retail.example.com,Cyprus,Europe,2010-02-15,25-34,Female
12392,Customer 12392,customer12392@retail.example.com,Australia,Asia-Pacific,2010-04-27,35-44,Male
12393,Customer 12393,customer12393@retail.example.com,Australia,Asia-Pacific,2010-10-07,25-34,Female
12394,Customer 12394,customer12394@retail.example.com,Belgium,Europe,2011-05-06,35-44,Male
12395,Customer 12395,customer12395@retail.example.com,Belgium,Europe,2010-04-16,35-44,Female
12396,Customer 12396,customer12396@retail.example.com,RSA,Africa,2010-02-03,25-34,Female
12397,Customer 12397,customer12397@retail.example.com,Belgium,Europe,2011-07-27,55+,Female
12398,Customer 12398,customer12398@retail.example.com,Switzerland,Europe,2011-10-25,45-54,Female
12399,Customer 12399,customer12399@retail.example.com,Belgium,Europe,2010-03-05,55+,Male
12400,Customer 12400,customer12400@retail.example.com,Australia,Asia-Pacific,2010-10-21,55+,Female
12401,Customer 12401,customer12401@retail.example.com,Belgium,Europe,2011-02-09,35-44,Male
12402,Customer 12402,customer12402@retail.example.com,Belgium,Europe,2010-02-07,55+,Female
12403,Customer 12403,customer12403@retail.example.com,Denmark,Europe,2010-07-06,18-24,Female
12405,Customer 12405,customer12405@retail.example.com,Finland,Europe,2011-07-14,25-34,Female
12406,Customer 12406,customer12406@retail.example.com,Denmark,Europe,2010-01-11,18-24,Male
12407,Customer 12407,customer12407@retail.example.com,Belgium,Europe,2011-03-20,25-34,Male
12408,Customer 12408,customer12408@retail.example.com,Belgium,Europe,2010-07-29,25-34,Female
12409,Customer 12409,customer12409@retail.example.com,Switzerland,Europe,2010-05-23,25-34,Female
12410,Customer 12410,customer12410@retail.example.com,Switzerland,Europe,2010-07-25,45-54,Female
12411,Customer 12411,customer12411@retail.example.com,Australia,Asia-Pacific,2010-10-26,25-34,Other
12412,Customer 12412,customer12412@retail.example.com,Denmark,Europe,2010-06-18,25-34,Male
12413,Customer 12413,customer12413@retail.example.com,Spain,Europe,2010-11-02,35-44,Female
12414,Customer 12414,customer12414@retail.example.com,Austria,Europe,2010-09-02,25-34,Female
12415,Customer 12415,customer12415@retail.example.com,Australia,Asia-Pacific,2010-06-30,45-54,Female
12416,Customer 12416,customer12416@retail.example.com,Australia,Asia-Pacific,2010-02-21,18-24,Male
12417,Customer 12417,customer12417@retail.example.com,Belgium,Europe,2009-12-06,55+,Female
12418,Customer 12418,customer12418@retail.example.com,Switzerland,Europe,2010-03-19,45-54,Male
12419,Customer 12419,customer12419@retail.example.com,Spain,Europe,2010-10-22,25-34,Female
12420,Customer 12420,customer12420@retail.example.com,Cyprus,Europe,2011-10-07,18-24,Male
12421,Customer 12421,customer12421@retail.example.com,Spain,Europe,2010-07-22,45-54,Male
12422,Customer 12422,customer12422@retail.example.com,Australia,Asia-Pacific,2009-12-18,45-54,Male
12423,Customer 12423,customer12423@retail.example.com,Denmark,Europe,2010-08-31,45-54,Female
12424,Customer 12424,customer12424@retail.example.com,Australia,Asia-Pacific,2010-06-09,45-54,Male
12425,Customer 12425,customer12425@retail.example.com,Portugal,Europe,2010-09-17,18-24,Female
12426,Customer 12426,customer12426@retail.example.com,Germany,Europe,2010-02-15,25-34,Female
12427,Customer 12427,customer12427@retail.example.com,Germany,Europe,2010-12-03,25-34,Female
12428,Customer 12428,customer12428@retail.example.com,Finland,Europe,2011-03-01,45-54,Other
